Time=0 | UART TX = 1 | send_uart = 0 | bits_sent = xxxx | Distance =     0
Time=125000: First trigger detected
Time=1000122000 | UART TX = 1 | send_uart = 1 | bits_sent = xxxx | Distance =     0
Time=1000205000 | UART TX = 1 | send_uart = 0 | bits_sent = xxxx | Distance =     0
Time=1041792000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=1145967000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=1250142000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=1354317000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=1458492000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=1562667000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=1666842000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=1771017000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=1875192000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=1979367000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=2000285000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =     0
Time=2000368000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=2083542000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=2187717000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=2291892000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=2396067000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=2500242000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=2604417000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=2708592000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=2812767000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=2916942000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=3000448000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=3000532000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=3021117000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=3125292000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=3229467000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=3333642000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=3437817000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=3541992000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=3646167000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=3750342000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=3854517000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=3958692000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=4000612000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=4000695000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=4062867000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=4167042000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=4271217000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=4375392000 | UART TX = 1 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=4479567000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=4583742000 | UART TX = 1 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=4687917000 | UART TX = 0 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=4792092000 | UART TX = 0 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=4896267000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=5000442000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=5000775000 | UART TX = 0 | send_uart = 1 | bits_sent = 1000 | Distance =     0
Time=5000858000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=5104617000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=6000938000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =     0
Time=6001022000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=6042192000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=6146367000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=6250542000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=6354717000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=6458892000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=6563067000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
Time=6667242000 | UART TX = 1 | send_uart = 0 | bits_sent = 0110 | Distance =     0
Time=6771417000 | UART TX = 0 | send_uart = 0 | bits_sent = 0111 | Distance =     0
Time=6875592000 | UART TX = 0 | send_uart = 0 | bits_sent = 1000 | Distance =     0
Time=6979767000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=7001102000 | UART TX = 1 | send_uart = 1 | bits_sent = 0000 | Distance =     0
Time=7001185000 | UART TX = 1 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=7083942000 | UART TX = 0 | send_uart = 0 | bits_sent = 0000 | Distance =     0
Time=7188117000 | UART TX = 0 | send_uart = 0 | bits_sent = 0001 | Distance =     0
Time=7292292000 | UART TX = 0 | send_uart = 0 | bits_sent = 0010 | Distance =     0
Time=7396467000 | UART TX = 0 | send_uart = 0 | bits_sent = 0011 | Distance =     0
Time=7500642000 | UART TX = 0 | send_uart = 0 | bits_sent = 0100 | Distance =     0
Time=7604817000 | UART TX = 1 | send_uart = 0 | bits_sent = 0101 | Distance =     0
